,round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,optimizer,shapes,weight_regulizer,eval_f1score_mean,eval_f1score_std
0,200,0.0627665773499757,0.8285714387893677,0.46400223885263714,3.6756563073988686e-05,1.0,0.99999998902982,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,0.8,<class 'keras.optimizers.Adam'>,,,,
1,200,0.059235206206462214,0.8476190567016602,0.5302720793655941,0.00013403414585792253,1.0,0.9693251445980892,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,0.8,<class 'keras.optimizers.Nadam'>,,,,
2,200,0.05444057831274612,0.8666666746139526,0.5841836375849587,2.758403019033666e-05,1.0,0.99999999451491,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,1.0,<class 'keras.optimizers.Adam'>,,,,
3,200,0.06464968745214199,0.8380952477455139,0.5430271689380918,0.00010808845133109354,1.0,0.99999998902982,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,1.0,<class 'keras.optimizers.Nadam'>,,,,
4,200,0.06578893462262515,0.8238095343112946,0.5048752490963254,0.0001461039039300583,1.0,0.99999998902982,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,1.2,<class 'keras.optimizers.Adam'>,,,,
5,200,0.06136993303828474,0.842857152223587,0.5181972427027566,0.0010404844035546879,0.9979550103468398,0.9938650310405193,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,1.2,<class 'keras.optimizers.Nadam'>,,,,
6,200,0.06647362133454797,0.8238095343112946,0.47811787894793917,0.0010501916448739685,0.9979550103468398,0.9631901701535184,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,1.5,<class 'keras.optimizers.Adam'>,,,,
7,200,0.06627388166296962,0.8285714387893677,0.4855441834245409,0.0005465424220439552,0.9979550103468398,0.9631901756386084,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,1.5,<class 'keras.optimizers.Nadam'>,,,,
8,200,0.07446225393297416,0.8095238208770752,0.4356214872428349,7.555894301772639e-06,1.0,0.99999998902982,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,2.0,<class 'keras.optimizers.Adam'>,,,,
9,200,0.08080362741436277,0.7952381074428558,0.42171198768275125,0.0009804831036786632,0.9979550103468398,0.9956178720012033,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function logcosh at 0x000001BD33DE3E18>,2.0,<class 'keras.optimizers.Nadam'>,,,,
10,200,0.9534099775566054,0.842857152223587,0.5333899813038963,0.0005990102018346257,1.0,0.9693251259487831,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,0.8,<class 'keras.optimizers.Adam'>,,,,
11,200,1.1144619226854826,0.8380952477455139,0.5571428175483432,0.0005526999330377405,1.0,0.999999991223856,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,0.8,<class 'keras.optimizers.Nadam'>,,,,
12,200,1.018048588984779,0.8285714387893677,0.4906462239367621,0.0014174809699102158,1.0,0.99999999451491,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,1.0,<class 'keras.optimizers.Adam'>,,,,
13,200,1.3729430063228523,0.8333333432674408,0.49931969600064413,0.009902622155826685,0.9959100206936795,0.9331969918648889,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,1.0,<class 'keras.optimizers.Nadam'>,,,,
14,200,1.0671896035117763,0.8333333432674408,0.4857142503772463,0.00039322705654801655,1.0,0.99999998354473,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,1.2,<class 'keras.optimizers.Adam'>,,,,
15,200,1.1420981872028537,0.8523809611797333,0.5281745727573123,0.0018247190330782466,1.0,0.999999996708946,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,1.2,<class 'keras.optimizers.Nadam'>,,,,
16,200,1.128349609140839,0.8095238208770752,0.4497165254184178,0.0010362305679587802,1.0,0.999999980253676,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,1.5,<class 'keras.optimizers.Adam'>,,,,
17,200,1.1548795732004302,0.8238095343112946,0.4898731814963477,0.0007833029566900865,1.0,1.0,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,1.5,<class 'keras.optimizers.Nadam'>,,,,
18,200,1.1634559997224383,0.8238095343112946,0.48182330812726704,0.0009982179455836797,1.0,0.99999998354473,<function relu at 0x000001BD33E1DC80>,15,0.1,,200,48,0,uniform,<function sigmoid at 0x000001BD33E1DD90>,<function binary_crossentropy at 0x000001BD33DF5048>,2.0,<class 'keras.optimizers.Adam'>,,,,
